survived;pclass;sex;age;sibsp;parch;fare;embarked;class;who;adult_male;deck;embark_town;alive;alone
0;1;male;50,0;1;0;55,9;S;First;man;True;E;Southampton;no;False
0;3;female;9,0;4;2;31,275;S;Third;child;False;;Southampton;no;False
0;3;male;28,0;0;0;7,7958;S;Third;man;True;;Southampton;no;True
0;1;male;49,0;1;1;110,8833;C;First;man;True;C;Cherbourg;no;False
0;3;male;;1;0;15,5;Q;Third;man;True;;Queenstown;no;False
0;3;female;28,0;0;0;7,8958;S;Third;woman;False;;Southampton;no;True
1;1;female;48,0;0;0;25,9292;S;First;woman;False;D;Southampton;yes;True
0;2;male;48,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
0;3;male;7,0;4;1;39,6875;S;Third;child;False;;Southampton;no;False
0;3;male;17,0;0;0;8,6625;S;Third;man;True;;Southampton;no;True
0;1;male;58,0;0;0;29,7;C;First;man;True;B;Cherbourg;no;True
0;1;male;28,0;1;0;82,1708;C;First;man;True;;Cherbourg;no;False
1;2;female;33,0;0;2;26,0;S;Second;woman;False;;Southampton;yes;False
0;1;male;;0;0;31,0;S;First;man;True;;Southampton;no;True
0;3;male;45,0;0;0;6,975;S;Third;man;True;;Southampton;no;True
0;2;male;42,0;1;0;27,0;S;Second;man;True;;Southampton;no;False
1;2;male;0,67;1;1;14,5;S;Second;child;False;;Southampton;yes;False
1;3;female;31,0;1;1;20,525;S;Third;woman;False;;Southampton;yes;False
1;1;male;42,0;0;0;26,2875;S;First;man;True;E;Southampton;yes;True
0;3;female;;8;2;69,55;S;Third;woman;False;;Southampton;no;False
1;3;male;12,0;1;0;11,2417;C;Third;child;False;;Cherbourg;yes;False
0;2;male;52,0;0;0;13,5;S;Second;man;True;;Southampton;no;True
0;3;male;33,0;0;0;7,8958;C;Third;man;True;;Cherbourg;no;True
0;2;male;25,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
1;1;female;58,0;0;1;153,4625;S;First;woman;False;C;Southampton;yes;False
0;3;male;40,5;0;0;7,75;Q;Third;man;True;;Queenstown;no;True
0;3;male;17,0;1;1;7,2292;C;Third;man;True;;Cherbourg;no;False
1;2;female;24,0;2;3;18,75;S;Second;woman;False;;Southampton;yes;False
0;3;male;26,0;1;0;7,8542;S;Third;man;True;;Southampton;no;False
0;3;male;18,0;0;0;7,75;S;Third;man;True;;Southampton;no;True
0;1;male;70,0;1;1;71,0;S;First;man;True;B;Southampton;no;False
0;3;female;16,0;5;2;46,9;S;Third;woman;False;;Southampton;no;False
1;3;female;;0;2;22,3583;C;Third;woman;False;;Cherbourg;yes;False
0;3;male;;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;2;male;51,0;0;0;12,525;S;Second;man;True;;Southampton;no;True
0;3;male;24,0;0;0;7,7958;S;Third;man;True;;Southampton;no;True
0;3;male;20,5;0;0;7,25;S;Third;man;True;;Southampton;no;True
1;1;male;48,0;0;0;26,55;S;First;man;True;E;Southampton;yes;True
1;2;female;7,0;0;2;26,25;S;Second;child;False;;Southampton;yes;False
1;3;female;21,0;0;0;7,65;S;Third;woman;False;;Southampton;yes;True
1;1;male;36,0;0;0;26,3875;S;First;man;True;E;Southampton;yes;True
0;3;male;21,0;0;0;7,8542;S;Third;man;True;;Southampton;no;True
1;2;female;29,0;1;0;26,0;S;Second;woman;False;;Southampton;yes;False
0;3;male;24,0;2;0;24,15;S;Third;man;True;;Southampton;no;False
